loss,accuracy,top_k_categorical_accuracy,val_loss,val_accuracy,val_top_k_categorical_accuracy,lr
1.285189151763916,0.4224815368652344,0.7473207712173462,1.000893235206604,0.5366666913032532,0.8144444227218628,1e-04
1.060068964958191,0.5329840183258057,0.8256728053092957,0.9491746425628662,0.5888888835906982,0.8566666841506958,1e-04
0.959837794303894,0.5841867327690125,0.8606811165809631,0.8844082355499268,0.6388888955116272,0.8855555653572083,1e-04
0.8983777761459351,0.6396760940551758,0.8816384673118591,0.8536781072616577,0.6600000262260437,0.897777795791626,1e-04
0.8570929169654846,0.6611098051071167,0.8999761939048767,0.8185212016105652,0.6866666674613953,0.9044444561004639,1e-04
0.8226935863494873,0.6870683431625366,0.909264087677002,0.8036866784095764,0.6899999976158142,0.9222221970558167,1e-04
0.7872052788734436,0.7082638740539551,0.9180757403373718,0.7758548855781555,0.7144444584846497,0.9366666674613953,1e-04
0.7620102167129517,0.7249345183372498,0.9292688965797424,0.7676928639411926,0.7244444489479065,0.9355555772781372,1e-04
0.738777756690979,0.7418432831764221,0.9368897080421448,0.7714928984642029,0.7211111187934875,0.9388889074325562,1e-04
0.7137356400489807,0.76113361120224,0.9402238726615906,0.782157838344574,0.7288888692855835,0.9333333373069763,1e-04
0.6914325952529907,0.7708978056907654,0.9485591650009155,0.7903081774711609,0.7099999785423279,0.9444444179534912,1e-04
0.6653345823287964,0.7942367196083069,0.9564182162284851,0.7808206677436829,0.7211111187934875,0.949999988079071,5e-05
0.6525026559829712,0.7989997863769531,0.9602286219596863,0.7749637961387634,0.7311111092567444,0.9433333277702332,5e-05
0.6457608342170715,0.8109073638916016,0.9530840516090393,0.7795238494873047,0.7222222089767456,0.9433333277702332,5e-05
