loss,accuracy,top_2_accuracy,val_loss,val_accuracy,val_top_2_accuracy,lr
0.16320861876010895,0.6254734992980957,0.8877829909324646,0.14264914393424988,0.6800000071525574,0.9044444561004639,1e-05
0.16505610942840576,0.6176609992980957,0.8823390007019043,0.14592911303043365,0.6499999761581421,0.9177777767181396,1e-05
0.16161374747753143,0.6280776262283325,0.8868371248245239,0.14800702035427094,0.6433333158493042,0.9088888764381409,1e-05
0.16655728220939636,0.6240530014038086,0.8740530014038086,0.14205080270767212,0.6733333468437195,0.9088888764381409,1e-05
0.16051819920539856,0.6415719985961914,0.8830492496490479,0.15680912137031555,0.6366666555404663,0.902222216129303,1e-05
0.16239047050476074,0.6245265007019043,0.8870738744735718,0.14230097830295563,0.6544444561004639,0.9011111259460449,1e-05
0.15937025845050812,0.6299715638160706,0.8799715638160706,0.14373868703842163,0.6622222065925598,0.9066666960716248,1e-05
0.1587311178445816,0.6477272510528564,0.8915719985961914,0.14498795568943024,0.6733333468437195,0.9100000262260437,5e-06
0.16036589443683624,0.6351799368858337,0.8861268758773804,0.1403941810131073,0.6733333468437195,0.9133333563804626,5e-06
0.1613134741783142,0.6316288113594055,0.8856534361839294,0.13971546292304993,0.6788889169692993,0.9111111164093018,5e-06
0.16160798072814941,0.6283143758773804,0.8866003751754761,0.14039474725723267,0.6688888669013977,0.9100000262260437,5e-06
0.16187706589698792,0.6375473737716675,0.8802083134651184,0.14046765863895416,0.6800000071525574,0.9077777862548828,5e-06
0.15903468430042267,0.6380208134651184,0.8877840638160706,0.1400696337223053,0.6755555272102356,0.9088888764381409,5e-06
0.15810751914978027,0.6479640007019043,0.8937026262283325,0.13957391679286957,0.6777777671813965,0.9088888764381409,2.5e-06
0.1618424355983734,0.6323390007019043,0.8844696879386902,0.13991482555866241,0.6744444370269775,0.9133333563804626,2.5e-06
0.15920835733413696,0.6453598737716675,0.8818655014038086,0.13979940116405487,0.6822222471237183,0.9144444465637207,2.5e-06
0.1631968915462494,0.6290246248245239,0.8832859992980957,0.1395520716905594,0.6777777671813965,0.9077777862548828,2.5e-06
0.15874314308166504,0.6467803120613098,0.8922821879386902,0.1395067572593689,0.6811110973358154,0.9044444561004639,1.25e-06
0.15880535542964935,0.6458333134651184,0.8856534361839294,0.13927118480205536,0.6755555272102356,0.9077777862548828,1.25e-06
0.16038069128990173,0.6482007503509521,0.8861268758773804,0.1392926126718521,0.6777777671813965,0.9077777862548828,1.25e-06
0.16162410378456116,0.6238163113594055,0.8844696879386902,0.13940906524658203,0.6788889169692993,0.9055555462837219,1.25e-06
0.15870968997478485,0.6451231241226196,0.8896780014038086,0.13947057723999023,0.6700000166893005,0.9088888764381409,1.25e-06
0.16110439598560333,0.6401515007019043,0.8932291865348816,0.1393991857767105,0.6755555272102356,0.9077777862548828,6.25e-07
0.1607358157634735,0.6375473737716675,0.8858901262283325,0.13943219184875488,0.6744444370269775,0.9088888764381409,6.25e-07
0.1591075211763382,0.6422821879386902,0.8946496248245239,0.139386385679245,0.6755555272102356,0.9066666960716248,6.25e-07
