loss,accuracy,top_2_accuracy,val_loss,val_accuracy,val_top_2_accuracy,lr
0.1450568437576294,0.4258996248245239,0.7260890007019043,0.14011181890964508,0.3333333432674408,0.7266666889190674,1e-04
0.12159717082977295,0.49408143758773804,0.7904829382896423,0.12587328255176544,0.371111124753952,0.7911111116409302,1e-04
0.11851173639297485,0.5047348737716675,0.8094223737716675,0.1232975423336029,0.39222222566604614,0.8144444227218628,1e-04
0.11434537917375565,0.5276988744735718,0.8181818127632141,0.13108192384243011,0.40444445610046387,0.7322221994400024,1e-04
0.11099563539028168,0.544981062412262,0.8290719985961914,0.11684295535087585,0.507777750492096,0.8244444727897644,1e-04
0.10951810330152512,0.5480586886405945,0.8394886255264282,0.168499156832695,0.46444445848464966,0.6866666674613953,1e-04
0.10899186134338379,0.5620265007019043,0.8463541865348816,0.15293069183826447,0.4977777898311615,0.754444420337677,1e-04
0.10475816577672958,0.5852272510528564,0.8610321879386902,0.10866434872150421,0.5944444537162781,0.8244444727897644,1e-04
0.1058838814496994,0.5816761255264282,0.8589015007019043,0.13107144832611084,0.4466666579246521,0.7811111211776733,1e-04
0.10336252301931381,0.5838068127632141,0.8615056872367859,0.12047036737203598,0.4833333194255829,0.8366666436195374,1e-04
0.10119574517011642,0.6089015007019043,0.8686079382896423,0.12838606536388397,0.4955555498600006,0.8122222423553467,1e-04
0.10105246305465698,0.6041666865348816,0.8728693127632141,0.10770627856254578,0.5411111116409302,0.79666668176651,5e-05
0.09907849878072739,0.6221590638160706,0.8752367496490479,0.08931149542331696,0.6499999761581421,0.8877778053283691,5e-05
0.09814417362213135,0.6200284361839294,0.8811553120613098,0.10131454467773438,0.5277777910232544,0.8922222256660461,5e-05
0.09985198080539703,0.6041666865348816,0.8721590638160706,0.09484395384788513,0.6366666555404663,0.8844444155693054,5e-05
0.09773077070713043,0.6186079382896423,0.8754734992980957,0.09497355669736862,0.6122221946716309,0.852222204208374,5e-05
0.09816793352365494,0.6107954382896423,0.8757102489471436,0.08638165891170502,0.6322222352027893,0.894444465637207,2.5e-05
0.09672606736421585,0.6200284361839294,0.8792613744735718,0.08737160265445709,0.6377778053283691,0.8922222256660461,2.5e-05
0.09674257785081863,0.6242897510528564,0.8818655014038086,0.08266102522611618,0.6811110973358154,0.9133333563804626,2.5e-05
0.09538038074970245,0.6294981241226196,0.890625,0.08825203031301498,0.653333306312561,0.894444465637207,2.5e-05
0.09569575637578964,0.6207386255264282,0.8828125,0.12052958458662033,0.476666659116745,0.8888888955116272,2.5e-05
0.09481919556856155,0.6354166865348816,0.892518937587738,0.08442408591508865,0.6722221970558167,0.9055555462837219,2.5e-05
0.09396519511938095,0.6451231241226196,0.8837594985961914,0.08310706913471222,0.6733333468437195,0.9133333563804626,1.25e-05
0.09575764834880829,0.6427556872367859,0.8915719985961914,0.08372151106595993,0.6666666865348816,0.9133333563804626,1.25e-05
0.09703502804040909,0.619081437587738,0.8816288113594055,0.08580978959798813,0.648888885974884,0.9011111259460449,1.25e-05
