loss,accuracy,top_2_accuracy,val_loss,val_accuracy,val_top_2_accuracy
1.1288068294525146,0.3448440134525299,0.6804000735282898,1.1177895069122314,0.3333333432674408,0.6711111068725586
1.0979080200195312,0.362943559885025,0.7073112726211548,1.0861369371414185,0.3488888740539551,0.7833333611488342
1.082640290260315,0.3798523545265198,0.7075493931770325,1.0760211944580078,0.3722222149372101,0.6688888669013977
1.080126404762268,0.3969992995262146,0.7015956044197083,1.0763449668884277,0.3844444453716278,0.6700000166893005
1.072190284729004,0.39223623275756836,0.7101690769195557,1.0666875839233398,0.3844444453716278,0.7055555582046509
1.0664902925491333,0.40366753935813904,0.7180281281471252,1.0110260248184204,0.4788888990879059,0.7711111307144165
1.0605205297470093,0.41152656078338623,0.7187425494194031,0.996951699256897,0.49666666984558105,0.7911111116409302
1.05855131149292,0.41676589846611023,0.72588711977005,1.0679562091827393,0.4211111068725586,0.7711111307144165
1.052296757698059,0.41581329703330994,0.7320790886878967,0.9961957335472107,0.5,0.801111102104187
1.0473204851150513,0.4189092516899109,0.7339842915534973,1.034191608428955,0.4577777683734894,0.7833333611488342
1.05265212059021,0.4222433865070343,0.730888307094574,1.0425362586975098,0.43666666746139526,0.8055555820465088
1.0425469875335693,0.4267682731151581,0.7356513738632202,1.0338610410690308,0.4699999988079071,0.7988888621330261
1.0413614511489868,0.4272445738315582,0.7311264872550964,1.0391044616699219,0.4633333384990692,0.8100000023841858
1.0405669212341309,0.4341509938240051,0.7427958846092224,1.0508421659469604,0.4466666579246521,0.7900000214576721
1.0342224836349487,0.43724697828292847,0.748511552810669,1.046244740486145,0.4300000071525574,0.8077777624130249
